Participant,Enter Shop (time in seconds),Leave Shop (time in seconds)
0.000000000000000000e+00,3.190000000000000000e+02,4.490000000000000000e+02
1.000000000000000000e+00,3.990000000000000000e+02,4.260000000000000000e+02
2.000000000000000000e+00,2.340000000000000000e+02,2.890000000000000000e+02
3.000000000000000000e+00,3.210000000000000000e+02,5.960000000000000000e+02
4.000000000000000000e+00,1.630000000000000000e+02,3.630000000000000000e+02
5.000000000000000000e+00,2.620000000000000000e+02,4.020000000000000000e+02
6.000000000000000000e+00,2.200000000000000000e+02,3.550000000000000000e+02
7.000000000000000000e+00,2.940000000000000000e+02,3.530000000000000000e+02
8.000000000000000000e+00,2.410000000000000000e+02,3.390000000000000000e+02
9.000000000000000000e+00,2.520000000000000000e+02,3.820000000000000000e+02
1.000000000000000000e+01,3.250000000000000000e+02,4.030000000000000000e+02
1.100000000000000000e+01,2.360000000000000000e+02,2.890000000000000000e+02
1.200000000000000000e+01,3.540000000000000000e+02,6.020000000000000000e+02
1.300000000000000000e+01,2.060000000000000000e+02,2.340000000000000000e+02
1.400000000000000000e+01,2.410000000000000000e+02,2.710000000000000000e+02
1.500000000000000000e+01,2.710000000000000000e+02,3.550000000000000000e+02
1.600000000000000000e+01,5.140000000000000000e+02,6.460000000000000000e+02
1.700000000000000000e+01,4.650000000000000000e+02,8.010000000000000000e+02
1.800000000000000000e+01,2.210000000000000000e+02,2.850000000000000000e+02
1.900000000000000000e+01,3.780000000000000000e+02,5.890000000000000000e+02
2.000000000000000000e+01,2.980000000000000000e+02,4.140000000000000000e+02
2.100000000000000000e+01,1.730000000000000000e+02,4.420000000000000000e+02
2.200000000000000000e+01,2.490000000000000000e+02,3.110000000000000000e+02
2.300000000000000000e+01,3.380000000000000000e+02,5.410000000000000000e+02
2.400000000000000000e+01,1.160000000000000000e+02,3.830000000000000000e+02
2.500000000000000000e+01,2.200000000000000000e+02,4.520000000000000000e+02
2.600000000000000000e+01,2.640000000000000000e+02,3.840000000000000000e+02
2.700000000000000000e+01,4.480000000000000000e+02,4.640000000000000000e+02
2.800000000000000000e+01,1.810000000000000000e+02,4.750000000000000000e+02
2.900000000000000000e+01,1.450000000000000000e+02,3.110000000000000000e+02
3.000000000000000000e+01,2.050000000000000000e+02,5.670000000000000000e+02
3.100000000000000000e+01,1.490000000000000000e+02,6.220000000000000000e+02
3.200000000000000000e+01,6.940000000000000000e+02,7.820000000000000000e+02
3.300000000000000000e+01,1.800000000000000000e+02,2.520000000000000000e+02
3.400000000000000000e+01,1.740000000000000000e+02,2.990000000000000000e+02
3.500000000000000000e+01,3.530000000000000000e+02,4.150000000000000000e+02
3.600000000000000000e+01,1.410000000000000000e+02,2.500000000000000000e+02
3.700000000000000000e+01,2.530000000000000000e+02,3.060000000000000000e+02
3.800000000000000000e+01,2.150000000000000000e+02,3.220000000000000000e+02
3.900000000000000000e+01,7.420000000000000000e+02,8.160000000000000000e+02
4.000000000000000000e+01,1.890000000000000000e+02,3.060000000000000000e+02
4.100000000000000000e+01,2.090000000000000000e+02,2.670000000000000000e+02
